cleaned_content,sentiment_label
kebiasaan kalau emang ga bisa cepat ga usah nyalain aplikasinya pelanggan juga punya jam waktunya banyak banget alasan minta nunggu lagi untuk prepare belum dia jarak jalan nya jauh memangnya waktu pelanggan yang atur itu driver,negatif
tidak ada gunanya pakai plus  ongkir tetap saja mahal  pakai expres juga telat   stop no alasan orderan full ya kita dah byar mahal  mending apk sblh langganan ongkir bisa rp,negatif
ga bisa chatan restoran duluan susah misal nya kalo mau ada note yang lupalangsung ga bisa batalin pesanan udah di konfirmasi sama resto padahal kan kasih dulu waktu min  menit jelek bngt,negatif
untuk pemesanan gofood waktunya tambah lama ditambah pesanan yang katanya telat jadi nunggu  jaman untuk pesanan kali ini tiba resto chat buat ambil pesanan karena sudah siap sudah dapat driver tibatiba cancel buat apa pesan gofood dengan pilihan pesan antar kalau harus pick up sendiridan sering juga pesan gofood toko sudah tutup tiidak ada info jadi butuh waktu lagi atau sering juga menu habis tidak ada info juga,positif
sangat membantu dan akurat cuman sayangnya suka ada driver yang pilih pilih jarak kalau yang dekat mereka suka minta cancle karena perhitungan ongkos padahal pelanggan juga ngerti dan suka ngasih tambahan ongkos karena merasa terbantu,positif
aplikasinya makin ke sini makin sering bug ga bisa chat driver berkalikali sampe orderan di cancel driver karena katanya saya ga respon chat padahal saya aja ga bisa klik kolom chat nya dari aplikasi karena bug setiap driver lama cancel driver baru masuk tombol chat nya malah masuk ke nama driver lama yg sudah cancel gitu aja terus mana ga bisa saya cancel pula ini orderan karena gofood merugikan banget,negatif
nunggu gocar hampir  jam lebih karena hujan deras di notice katanya dapat uang tunggu rb untuk kesabarannya karena tetap menunggu setelah perjalanan selesai ternyata bonus uang tunggunya gak ada tuh  mana sampai hujan²an saya bawa bocil saya yg nyamperin gocarnya cukup jauh karena si driver gak bisa putar balik bonus uang tunggunya itu cuma tipu² ya ,negatif
dalam aplikasi masih terdapat error juga kecepatannya kurang terkadang ada bag visual juga terutama saat saya akan order saat menggunakan voucher dan kemudian top up saldo masuk tapi voucher error yang mengakibatkan harganya semakin naik dan oke saya ulangi lagi dan masih sama voucher hilang dan semakin mahal tolong bisa diperbaiki kualitas aplikasi dan pelayanan nya,negatif
saya udah  kali pesen gofood telat terus gak sesuai estimasi awal di tengah tengah estimasi pasti telat padahal kalo sesuai estimasi awal gak bakal telat buat buka puasa masalah pertama udah  driver cancel pengirman saya dan yg kedua saya gak bisa chet restoran karna telalu lama waduhh udah di jam  malah di batalin duita balik maksuda apa coba gak jelas banget ,negatif
pesen gofood di aplikasi ini tanda restoran masih menyiapkan pesanan tapi tibatiba drivernya udah chat sampe karena saya lagi ke warung drivernya nunggu ga sampe  menit ehh pas saya dateng dia jutek banget padahal saya kasih tips gak lagi lagi pake aplikasi ini mending shopee food aja drivernya ramahramah,negatif
ini peraturannya gimana tolong bantu jelaskan saya pesan gocar lalu perlu mengganti tujuan antarnya info pertama dibilang gabisa ganti sebelum di pick up pas driver sudah sampai masih gabisa ganti tujuan karna ada go coin dipertengahan perjalanan drivernya ternyata bisa menyelesaikan perjalanan tarif awal sekitar  berubah menjadi  tapi driver meminta tetap bayar tarif awal bagaimana tolong jelaskan,negatif
dulu sering pake buat pesen makanan karena banyak banget promo dan gede udah hampir  tahun lebih gaada promo lain selain kalau pake bank tertentu bener mengecewakan sih,negatif
aplikasinya bukannya tambah murah di pakaikan diskon malah tambah mahal terus diskon nya blm di pakai udah hilang tolong pihak gojek lebih di perbaiki lagi jangan diskon belum di pakai tibatiba hilang padahal belum di pakai sama sekali belum juga habis masa waktu diskonnya nya,netral
min ini apk gojek semakin di update bukannya makin mudah kok makin nge bingungin saya top up di indomaret udah sukses tp kok saldo blm nambah ya keterangannya mlh lg di proses pemindahan ke tabungan itu gmn maksudnya min kok gk kyk dulu saya top up lancar aja gk sampai  menit saldo udah masuk hadehh,negatif
berhenti gw make ni aplikasi lelet banget ga pernah dapet dapet driver ngorder makanan telat mulu akhirnya ga dapet driver nunggu lama lama buang buang waktu aja niatnya make ni aplikasi biar cepet biar ga keluar eh malah lama mana ga bisa di cancel lagi,negatif
bugnya bahaya belum di pencet pesan di menu gofood mlh milih pesanan sendiri cekout otomatis adooh aneh banget aplikasi ini tapi fitur animasi bergerak lebih mantap daripada aplikasi food lainnya yang monoton tanpa tambahan animasi bergerak,negatif
ketika saya akan membuat pesanan saya tidak bisa memasukkan alamat penjemputan dan tujuan driver juga tidak ada yang mengambil pesanan saya karna hal ini saya baru bisa membuat pesanan setelah mnt mencoba lalu entah mengapa alamat rumah saya selalu tidak dapat ditemukan sehingga saya harus mencari lokasi rumah saya secara manual di peta tolong segera diperbaiki karena hal ini saya jadi telat untuk dateng ke suatu acara dan hal ini membuat saya sangat frustasi,negatif
pesanan waktu hujan aja gaada yg mau ambil drivernya terus gunanya bikin aplikasi ini apakita pilih gofood juga karena gabisa keluar keluhan kek gini ga hanya customer aja tapi pihak resto juga banyak dikomplain sama customernya karena disistem tulisannya lagi disiapin tapi kenyataan nya apadari gojek sendiri kebijakannya ga bisa buatin dulu sebelum ada driver,negatif
gojek bagus tetapi yang bikin saya bertanya ada langganan voucher itu fungsinya buat apakarena setelah saya langganan pakai voucher sebulan tidak ada perubahan potongan perjalanansama saja seperti potongan perjalanan biasa sajaakhirnya saya cut dechmohon penjelasannya,positif
baru aja mau pesen makanan aslinya udah order dari jam  kurang  di notif tulisannya resto sedang menyiapkan makanan dan harus nunggu sejam sejam kemudian orderannya batal karena gak dapet driver jadi sebenernya makanannya itu udah dibuat apa belum tolong diperbaiki dong masa baru tau kalo orderannya ga diterima setelah nunggu sejam jadi sekarang harus order lagi dan nunggu sejam lagi itu juga gatau ntr ke cancel lagi atau enggak hadeh,negatif
program promosi warung ini gimana konsep nya  potongan ya kira lah bukan semua hasil penjualan di potong mentang ada berbayar  kalian ini udh ambil untung lebih dari  persen dari penjual dikira jualan ga pake modal,negatif
lbh cepat mencari kendaraannya dan titik jemputnya lebih murah harganya dan penggunaan aplikasinya lbh mudah dari pada aplikasi si kuning,positif
saya belum mendaftar gojek tp ada notifikasi masuk melalui email dengan no berbeda  ketika daftar melalui email  no hp saya sdh tidak bisa diminta untuk masukan email lain ketika saya membuat laporan melalui email jg masih ada notifikasi klu ada indikasi masuk gojek tapi saya tidak tahu bagaimana penyelesaian nya karena tidak bisaada masuk ke akun gojek karena beda no tolong kasih tahu penyelesaian nya melalui email jangan cuma kirim kalau laporan telah selesai  buka aplikasi krn tdk bisa,negatif
aplikasi yang praktis dan mudah di gunakan hanya saja ada beberapa bug seperti saat saya hendak memasang photo profil foto nya malah miring dan tidak bisa di atur mohon untuk di selesaikan bug nya,positif
ga puas untuk pelayanan driver mobil selama ini gosend dan driver motor driver nya selalu dapat alamat tapi kalau saat hujan dan driver mobil suka tiba tiba nyasar dengan titik nya padahal driver ga ada di sana mohon perbaikan titik lokasi agar driver ga rugi lokasi saya sudah benar dan sesuai catatan dan posisi driver saat itu ada di gang sebelah dari rumah saya sehingga menyebabkan miss communication ,negatif
saya x order beda hari susahhhhhhh sekali dapat dtivernya emang tidak ada armada atau bagaimana klo tidak ada armada mending jangan buka aplikasi yahhh ini tadi barusan order ya x hampir  jam ga dapat driver juga aduhhhhhhh parahhh sih tolong ya diperbaiki lagiiiiiii ,negatif
untuk pembelian di gomart ada biasa pengemasan trus nyampe alfamart diminta lagi pembayaran tas belanja emang biaya pengemasan di gomart itu bukan untuk pengemasan barang ya dalam arti tas belanja  kecewa di itu nya  jd pencuma dong ada biaya pengemasan tolong di respon  krn mau chat di aplikasi cs gopaynya gak bisa,netral
woii kalo qr code buat krl itu jangan  detik lah bego lu kira tap qr code krl gak ngantri otak lo pake lah di pasar senen itu keluarnya sinyal jelek  kasihlah  menitan hitung juga antriannya,negatif
aplikasi udah nggak seworth it dlu gw coba pesen goride  minggu masih diharga  dalam jarak km habis itu diminggu selanjutnya eh malah jadi  ga masuk akal anjg padahal jaraknya sama emng babi ni apk lama kecewa berat,negatif
masa tarif berubah awal mau pesen gocar jam  tarif k gak jadi karna susah dapat driver pesen lagi jam  tarif jadi k mending uninstal aja aplikasi nya apk gak guna kalah jauh ama lalamove atau grab,negatif
enak betul kalian ya saya pesan makanan go food tapi kalian yang cancel saya nunggu sejam karena telat alasan nya  makanan gak jadi langsung di cancel dari aplikasi nya saya gak di kasih alasan kenapa di cancel saya gak bisa cancel go food nya saya gak di kasih kompensasi atas waktu yang saya pake buat nunggu makanan saya pesan makanan express tapi kok scam kek gini  terbuang sia sia waktu saya karena nunggu makanan baru gak datang lagi di cancel lagi tanpa ada penjelesan ,negatif
fitur notifikasi jika diaktifkan sangat menganggu karena sering bgt muncul memberikan notif² yg tidak diinginkanterlalu sering,netral
 kali pesan gofood dari jam  sampai sekarang pesanan dibatalkan pesanan pertama karena restoran pesanan kedua tibatiba batal kalau ada reting minus saya bakalan ngasih minus,negatif
waktu pesan gocar dan udah dapet drivernya udah chat juga jemput sesuai titik giliran lagi ditungguin tibatiba dicancel sama drivernya mana nungguinnya lama kejadian kayak gitu juga gak sekali dua kali sering malah nyebelin sumpah mana panas banget lagi ah yo kaku,negatif
aku suka desainnya  kreatif bgettt ada karakter lucux juga plissss tapi aku mau nanti d aplikasi ini ada suaranya gitu jdi setiap pembelian bisa bilng  pesananmu sedang d proses pasti makin keren aku juga suka ada diskonnya ,positif
kalau sekiranya sudah gak akan dapet driver lagi setelah ada keterlambatan waktu hampir  jam tolong dimudahkan proses pembatalan saya hari ini sudah x medapat cancel dari gojek perihal susah mencari driver  jam waktu saya terbuang siasia hanya bisa menunggu cancel dari gojek  menit lebih menunggu driver yg tak kunjung dapat hingga ada keterlambatan waktu padahal jelas sangat susah mendapat driver tapi saya tetap tidak bisa membatalkan pesanan saya sendiri sangat merugikan customer,negatif
aplikasi gojeg atau gopay saya tidak bisa melakukan transfer dan top updi sebabkan kendala dengan data e ktp dan poto di tolak pengaplobkan veripikas gopay sedangkan saya di saat buat memakai id e ktp saya sendiri masalah penilaian gampang buat gopay atau gojeg,negatif
setelah update terbaru per bulan maret ini gojek sering ngelag dan lelet buka pesan driver aja susah kadang di klik menunya ga bisa,negatif
aplikasi sering bgt eror pas mau pesen tiba eror ga dpt driver terpaksa hrs keluar aplikasi pas masuk lg tarif udh berubah x lipat dr sebelumnya padahal di maps driver banyak tapi ga ada yg masuk pas tarif naik x lipat baru ada driver yg ambil,netral
tolong di nilai juga para driver jangan hanya minta penilaian dan tips aja ketika kami lagi butuh untuk antar ke kantor ke sekolah atau pas jam pulang banyak sekali driver ini menolak pdhl lokasinya deket dari titik jemput tiba² cancel dan tiba² balas chat nya bilang malas jauh bilang iya tapi gak gerak² sebenernya kita kasihan sama mereka dan kita gak liat itu nominal tapi driver yg kayak gitu yg suka nolak orderan atau terima tapi gak gerak² seolah² gak butuh rejekisaya sumpahi,negatif
mentang mentang pakai pengiriman regular nunggu dapat driver aja sampai  jam lebih itu kadang kadang malah jadi gagal pesan karena gak dapat driver sy pakai aplikasi gojek juga bayar kan jangan sembarangan bikin custumer kecewa karena nunggu dapat driver lama ,negatif
kecewa dengan aplikasi ini layanan customer service sama sekali tidak memberikan solusi dan jawaban yang tepat ketika klien mengalami masalah semoga kedepannya bisa lebih baik lagi,negatif
driver gocar tidak profesional kalo ngga niat kerja mending dinonaktifkan aja ini sudah lebih x cancel by driver terutama yg udah lama kerja kalau memang udah bosan kerja bisa cari kerjaan lain tolong kasih perhatian khusus buat driver yg suka cancel,negatif
udah lama pake gojek dan akhirakhir ini sering pake buat pesen makan kalo ga bawa bekel selama ini aman aja tapi tibatiba akun terblokir sehari setelah pake gopay later dan promonya untuk pengguna gopaylater baru katanya penyalahgunaan konsumen promosibagian paling menyebalkannya adalah ga dikasih tau rincian pelanggaran apa yang saya lakukan paling tidak kasih tau penyalahgunaan bagian mananya dong aktivitas mana yang ga wajar mau ga mau saya kan berasumsi karena pakai promo paylater,negatif
sangat mengecewakan drivernya kita sudah lama menunggu dan ketika drivernya udah sampai malah seenaknya nge cancel padahal kita hanya ada  orang aja dan sesuai dengan yg di order,negatif
pelayanan yang mantap selalu menghargai penumpang ya namun ada berapa persen yang agak galak tapi pelayanan ok kalo yg tidak ok saya laporkan ya harus ditanggapi ya  koq struk pesanan sudah tidak muncul di email lagi ya min,positif
parah layanan gocar sekarang saya sudah berlangganan lama tapi makin sekarang makin buruk layanannya sudah tunggu lama lebih dari  menit drivernya cancel penjemputan its wasting time,negatif
tolong maps di aplikasi di betulkan setiap kl order pasti sy kirim ulang maps kasihan driver nya di putar unt sampai tujuan,positif
aplikasi recomended membantu sekali ketika tdk bisa membeli sesuatu yang dibutuhkan mengantar barang dan lainlain tinggal nunggu dirumah pesanan tiba dan banyak diskon hargaongkir yang cukup hemat seperti diskon ongkir  maksimal rb untuk go food,positif
perbaiki lagi help centernya lg pesen gofood ga dapet dapet driver nanya help center katanya driver udh jalan menuju resto sedangkan di aplikasi belum dapet driver sama sekali kalo gini makananya udah keburu dingin kalik nungguin dapet driver doang,negatif
download apk ulang karena hp teriset dapat angka kode verivikasi dimasukan hasilnya salah kirim kode ulang dikirim lg masuk salah lg sampai bbrpa kali sampai tidak bisa lg dan harus menunggu menit bagaimana kalau ada kebutuhan mendesak harus menunggu menit alhasil y sudah ganti apk lain selesai dan terjadi lagi,negatif
sudah sering memakai layanan gopay pinjam bayar juga nggak pernah telat gimana ini woi malah limit ku dibekukan giliran lagi butuh modal usaha besar buat lebaran malah kayak gini,netral
order go food dengan pengiriman express beberapa kali tp sering telatsama aja kyk pengiriman standar mahga dpt driver dalam waktu yg lama tapi ga ada tindakan apa²klo ada bintang  udah aku kasih bintang  aja,negatif
tolong untuk fitur gosend kan sdh diberikan no tlp pengirim pesan kenapa drivernya pada tlp yg order gosend  padahal kan sdh jelas untuk tanya tanya lokasi pick up barang pesanan bisa hubungi no tlp yg sdh dilengkapi oleh yg pesan gosend karena suka suka yg order gosend adalah yg punya barang  bukan orang tempat kirim barang  please bgt menjadi perhatian,positif
trima kasihdengan adanya harga ongkir ekonomis  kebutuhan saya banyak yg terpenuhigojek bukan lagi untuk pelanggan kelas menengah keatas namun semua kelas bawah sampai atas semoga drivernya betah dengan ongkir ,positif
aplikasi nya bagus dan cepat namun kepada driver ketika sudah ditengah jalan harap jangan mengubah apapun semua sudah tersedia sesuai aplikasi kecuali jika pelanggan nya sendiri yang ingin mengubah nya,positif
tolong adakan menu review resto ketika selesai mesen go food karena banyak resto go food yang asal asalan dalam menyajikan makanan baik pengurangan volume maupun rasa yang sudah tidak layakbasi tolong tindak tegas mitra food seperti itu karena sangat merugikan konsumen,positif
mengecewakan orderan batal tapi saldo rekening saya terpotong saat mengajukan complain atau meminta bantuan malah di kasih bot  udah gitu gak relevan dengan permasalah tidak ada kesempatan untuk menjelaskan via fitur chat dengan cs malah di kasih pilihanpilihan,negatif
sangat kecewa nunggu gofood lama gak ada kejelasan kalo gak ada driver harusnya bisa dari awal aja terdeteksi d dekat resto gak ada jadi konsumen bisa dikasih tau dan bisa langsung cancel mana kelaperan nungguin yg gak pasti masalahnya estimasi waktu berjalan  menit d menit terakhir stuck sampe setengah jam lebih,negatif
berdasarkan analiss kami terdapat beberapa rekomendasibyang dapat di tambahkan mulai dari  fitur navigasi dan peta maps  tambahkann fitur lalu lintas real time  saran titik jemput otomatis  optimasi rute untuk driver  harga dan promo  tranparansi harga lebih baik lebih banyak promo saat cuaca buruk notifikasi promo lebih jelas  pencocokan driver  percepat pencarian driver saat jam sibuk dan tambahkan notifikasi keterlambatan  gofood  rekomendasi restorab alternatif,positif
gimana sih uda pake gofood express buat buka puasa tapi udah  jam ga nyampe nyampe padahal lokasi nya deket ini saya sampai ga buka buka ini mau di cancle tapi kok gabisa kapan hari saya juga pesan go car driver nya juga ugal ugal an kalo nyetir mana driver nya terlalu kepo sama urusan pribadi bikin ga nyaman,negatif
saya tidak bisa login beberapa kali ke akun saya sudah mencoba beberapa kali face id tetap tidak bisa udh ga pake kacamata tidak blur cahaya terang tetep gabisa udh buat laporan gaada penyelesaian masalah kecewa banget sama gojek lama ku uninstall aja drpd penuhin memori hp ,negatif
aplikasi harian yang sering digunakan sangat membantu dalam hal transportasi dan pengiriman makanan ui bagus ux bisa dibuat lebih compact dan sesuai dengan rekomendasi atau habit konsumen tentu akan lebih membantu terima kasih,positif
cara menilai sopir masih membingungkan sebab tidak ada tulisan pemberitahuan atau di menu mana untuk menilai sopir aplikasi yang masih membingungkan tidak bisa scroll ke bawah padahal ada bagian kotak berisi promo yang terpotong namun tidak bisa di scroll,negatif
baru kali ini saya kecewa banget sama gojek  menit nggak ada driver yang mau untuk nganterin saya padahal banyak driver yang terdeteksi ada di sekitar rumah saya sudah saya pilih yang comfort biayanya paling mahal sudah saya aktifkan pencarian prioritas juga sama sekali nggak ngaruh akhirnya saya terlambat kerja padahal udah ngeluarin biaya lebih untuk gojek karena kalo naik bis pasti terlambat ini malah sama aja mahal terlambat lagi benerbener mengecewakan,negatif
tolong transfer jangan di perlambat mohon kerja samanya seperti dulusekarang ngebug terus transfer lelet dan mengecewakan dengan sangat,negatif
nggak berguna banget tombol chat  telepon resto gak bisa digunakan sama customer padahal kalau butuh ganti menu kan lebih enak nyaman dan cepat kalau bisa langsung chat sama resto yang bersangkutan,negatif
aplikasi makin lama makin gak jelasapa lagi terkait limit paylattermasa iyaa tiap bulan ada cek rutin teruspdhl bayar gak pernah telat jujur kecewa banget,negatif
kenapa skrg jadi  kalo pesanan telat mau dpt voucher sebelumnya kalo telat ga sesuai sama waktu estimasi juga dpt voucher ga pake  segala mentang mau diadain thr ojol jadi apanya di uangin hadeh,negatif
aplikasi mengalami bug saat dibuka tidak bisa di scroll tidak bisa di klik dan lagi saat ingin scroll restoran pasti hanya loading saat terakhir dan saat ingin scroll ulang itu tidak bisa dan hanya bisa di klik saya menggunakan wifi jadi jangan alasan jaringan saya yang eror hp saya xiaomi t jadi tidak ada alasan pada device saya perbaiki aplikasi ini,negatif
sudah aman sudah bisa pesan namun entah kenapa jadi lebih lama mendapatkan driver ditambah kadang drivernya cancel setelah menunggu agak lama,positif
pesen gocar pasti driver nya ga sabaran dan ngambekan dia pake mobil dengan plat beda yang salah driver apa kita sebagai penumpang di tanya baik² malah marah terus minta di cancel padahal saya lagi ada acara gara gara driver ga jelas jadi batal acaranyamengecewakan,negatif
